molecule_id,nearest_generated_neighbor_id,nearest_generated_similarity,nearest_target_ligand_ids,nearest_target_ligand_smiles,nearest_target_similarity,target_top5_mean_similarity,target_reference_count,nearest_approved_parent_id,nearest_approved_parent_name,nearest_approved_drug_ids,nearest_approved_drug_names,nearest_approved_drug_smiles,nearest_approved_first_approvals,nearest_approved_withdrawn_flags,nearest_approved_similarity,approved_top5_mean_similarity,approved_reference_count
0,3,0.1458333333333333,CHEMBL224835,O=C(Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1)C1CC1,0.2156862745098039,0.2062250125013721,5344,CHEMBL877,TRANEXAMIC ACID,CHEMBL877,TRANEXAMIC ACID,NC[C@H]1CC[C@H](C(=O)O)CC1,1986,False,0.25,0.2158763819007227,2198
1,3,0.1076923076923077,CHEMBL4578482,N#CCOc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,0.2125,0.2018590126432244,5344,CHEMBL141,LAMIVUDINE,CHEMBL141,LAMIVUDINE,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,1995,False,0.1971830985915492,0.1766340944075623,2198
2,5,0.1428571428571428,CHEMBL5774547,Nc1nc(C(=O)NCc2cccc(Cc3ccc(F)c(F)c3)n2)c2cccc(F)c2n1,0.2051282051282051,0.1867962638495253,5344,CHEMBL59,DOPAMINE,CHEMBL59;CHEMBL1557,DOPAMINE;DOPAMINE HYDROCHLORIDE,NCCc1ccc(O)c(O)c1,1974,False,0.2307692307692307,0.2126089495913445,2198
3,10,0.196078431372549,CHEMBL1671933,Cc1cc(C(=O)Nc2nccs2)ccc1NC(=O)CC(C)(C)C,0.2962962962962963,0.2591577476185221,5344,CHEMBL704,MESALAMINE,CHEMBL704,MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,1987,False,0.3823529411764705,0.3411617278490343,2198
5,2,0.1428571428571428,CHEMBL456287,CC(=O)Nc1cc(N2CCc3ccccc3C2)nc(-n2nc(C)cc2C)n1,0.2985074626865671,0.2758387211676625,5344,CHEMBL169901,DEBRISOQUIN,CHEMBL169901;CHEMBL1593558,DEBRISOQUIN;DEBRISOQUIN SULFATE,N=C(N)N1CCc2ccccc2C1,,False,0.3404255319148936,0.2662614792763327,2198
6,9,0.1142857142857142,CHEMBL2165804,CC(C)n1cc(-c2ncc(N)nc2-c2ccc(F)cc2)ccc1=O,0.2580645161290322,0.2142794949063888,5344,CHEMBL1908307,FLOSEQUINAN,CHEMBL1908307,FLOSEQUINAN,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21,1992,True,0.2166666666666666,0.2038607356286343,2198
7,8,0.1477272727272727,CHEMBL5093127,Cc1ccc(-c2nc(N)nc3c2ncc(=O)n3CC2CC2)o1,0.1685393258426966,0.157997456188881,5344,CHEMBL3286830,LORLATINIB,CHEMBL3286830,LORLATINIB,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,2018,False,0.1568627450980392,0.1475954914190208,2198
8,7,0.1477272727272727,CHEMBL2153629,Cn1c(=O)c2c(nc3n2CCN3C2CCCCCCC2)n(C)c1=O,0.1527777777777778,0.149932430425614,5344,CHEMBL797,PHENSUXIMIDE,CHEMBL797,PHENSUXIMIDE,CN1C(=O)CC(c2ccccc2)C1=O,1982,False,0.2033898305084746,0.1849746195966606,2198
9,6,0.1142857142857142,CHEMBL3828388,Cc1ccc(Nc2nc3c(N4CCC[C@H]4CO)ncnc3s2)cc1,0.1392405063291139,0.1348419302402571,5344,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL691,ETHINYL ESTRADIOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1982,False,0.1666666666666666,0.1661691542288557,2198
10,3,0.196078431372549,CHEMBL256361,COC(=O)c1cccc(Cn2ncc3c(-c4ccco4)nc(N)nc32)c1,0.2602739726027397,0.2458108443329358,5344,CHEMBL1208,CINOXACIN,CHEMBL1208,CINOXACIN,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1980,False,0.2711864406779661,0.2435591677578483,2198
