molecule_id1,molecule_id2,similarity
0,1,0.04054054054054054
0,2,0.07352941176470588
0,3,0.14583333333333334
0,5,0.06349206349206349
0,6,0.014705882352941176
0,7,0.06172839506172839
0,8,0.056338028169014086
0,9,0.06153846153846154
0,10,0.11864406779661017
0,11,0.05660377358490566
0,12,0.10714285714285714
0,14,0.038461538461538464
0,17,0.1111111111111111
0,18,0.06557377049180328
0,19,0.14285714285714285
1,2,0.0975609756097561
1,3,0.1076923076923077
1,5,0.09090909090909091
1,6,0.075
1,7,0.09574468085106383
1,8,0.05747126436781609
1,9,0.075
1,10,0.09210526315789473
1,11,0.10606060606060606
1,12,0.0821917808219178
1,14,0.09230769230769231
1,17,0.0875
1,18,0.06493506493506493
1,19,0.05952380952380952
2,3,0.0967741935483871
2,5,0.14285714285714285
2,6,0.09333333333333334
2,7,0.11235955056179775
2,8,0.1282051282051282
2,9,0.09333333333333334
2,10,0.09722222222222222
2,11,0.06153846153846154
2,12,0.10294117647058823
2,14,0.11666666666666667
2,17,0.12162162162162163
2,18,0.08333333333333333
2,19,0.08974358974358974
3,5,0.08771929824561403
3,6,0.06666666666666667
3,7,0.06578947368421052
3,8,0.06060606060606061
3,9,0.0847457627118644
3,10,0.19607843137254902
3,11,0.04081632653061224
3,12,0.1875
3,14,0.13953488372093023
3,17,0.1016949152542373
3,18,0.1320754716981132
3,19,0.11666666666666667
5,6,0.08571428571428572
5,7,0.08139534883720931
5,8,0.1388888888888889
5,9,0.10144927536231885
5,10,0.07352941176470588
5,11,0.08620689655172414
5,12,0.11290322580645161
5,14,0.10909090909090909
5,17,0.1323529411764706
5,18,0.14285714285714285
5,19,0.09722222222222222
6,7,0.06741573033707865
6,8,0.07692307692307693
6,9,0.11428571428571428
6,10,0.07142857142857142
6,11,0.06557377049180328
6,12,0.07575757575757576
6,14,0.05
6,17,0.09722222222222222
6,18,0.08823529411764706
6,19,0.0945945945945946
7,8,0.14772727272727273
7,9,0.06741573033707865
7,10,0.08235294117647059
7,11,0.07894736842105263
7,12,0.060240963855421686
7,14,0.03896103896103896
7,17,0.10344827586206896
7,18,0.0963855421686747
7,19,0.07692307692307693
8,9,0.09090909090909091
8,10,0.06578947368421052
8,11,0.07575757575757576
8,12,0.06944444444444445
8,14,0.029850746268656716
8,17,0.1038961038961039
8,18,0.08108108108108109
8,19,0.0875
9,10,0.08695652173913043
9,11,0.08333333333333333
9,12,0.09230769230769231
9,14,0.05
9,17,0.0821917808219178
9,18,0.05714285714285714
9,19,0.1095890410958904
10,11,0.05084745762711865
10,12,0.11475409836065574
10,14,0.09090909090909091
10,17,0.11764705882352941
10,18,0.07575757575757576
10,19,0.08333333333333333
11,12,0.07407407407407407
11,14,0.06382978723404255
11,17,0.047619047619047616
11,18,0.10909090909090909
11,19,0.0967741935483871
12,14,0.07692307692307693
12,17,0.1076923076923077
12,18,0.09836065573770492
12,19,0.15625
14,17,0.06666666666666667
14,18,0.11320754716981132
14,19,0.047619047619047616
17,18,0.07142857142857142
17,19,0.1388888888888889
18,19,0.0547945205479452
