molecule_id,nearest_approved_parent_id,nearest_approved_parent_name,nearest_approved_drug_ids,nearest_approved_drug_names,nearest_approved_drug_smiles,nearest_approved_first_approvals,nearest_approved_withdrawn_flags,nearest_approved_similarity,approved_top5_mean_similarity,approved_reference_count
0,CHEMBL877,TRANEXAMIC ACID,CHEMBL877,TRANEXAMIC ACID,NC[C@H]1CC[C@H](C(=O)O)CC1,1986,False,0.25,0.2158763819007227,2198
1,CHEMBL141,LAMIVUDINE,CHEMBL141,LAMIVUDINE,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,1995,False,0.19718309859154928,0.17663409440756236,2198
2,CHEMBL59,DOPAMINE,CHEMBL59;CHEMBL1557,DOPAMINE;DOPAMINE HYDROCHLORIDE,NCCc1ccc(O)c(O)c1,1974,False,0.23076923076923078,0.2126089495913445,2198
3,CHEMBL704,MESALAMINE,CHEMBL704,MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,1987,False,0.38235294117647056,0.34116172784903437,2198
5,CHEMBL169901,DEBRISOQUIN,CHEMBL169901;CHEMBL1593558,DEBRISOQUIN;DEBRISOQUIN SULFATE,N=C(N)N1CCc2ccccc2C1,,False,0.3404255319148936,0.26626147927633276,2198
6,CHEMBL1908307,FLOSEQUINAN,CHEMBL1908307,FLOSEQUINAN,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21,1992,True,0.21666666666666667,0.2038607356286343,2198
7,CHEMBL3286830,LORLATINIB,CHEMBL3286830,LORLATINIB,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,2018,False,0.1568627450980392,0.1475954914190208,2198
8,CHEMBL797,PHENSUXIMIDE,CHEMBL797,PHENSUXIMIDE,CN1C(=O)CC(c2ccccc2)C1=O,1982,False,0.2033898305084746,0.18497461959666067,2198
9,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL691,ETHINYL ESTRADIOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1982,False,0.16666666666666666,0.16616915422885573,2198
10,CHEMBL1208,CINOXACIN,CHEMBL1208,CINOXACIN,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1980,False,0.2711864406779661,0.2435591677578483,2198
11,CHEMBL437,SULFATHIAZOLE,CHEMBL437,SULFATHIAZOLE,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1945,True,0.2127659574468085,0.17329610449033922,2198
12,CHEMBL154,NAPROXEN,CHEMBL154;CHEMBL1200806,NAPROXEN;NAPROXEN SODIUM,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,1976;1980,False,0.2765957446808511,0.27010531515090785,2198
14,CHEMBL276832,HYDRALAZINE,CHEMBL276832;CHEMBL542541,HYDRALAZINE;HYDRALAZINE HYDROCHLORIDE,NNc1nncc2ccccc12,1953,False,0.3611111111111111,0.2854599650529345,2198
17,CHEMBL1286,LEVETIRACETAM,CHEMBL1286,LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O,1999,False,0.23214285714285715,0.20208347013906242,2198
18,CHEMBL269644,ACETANILIDE,CHEMBL269644,ACETANILIDE,CC(=O)Nc1ccccc1,,True,0.22727272727272727,0.21461560602627,2198
19,CHEMBL783,NATEGLINIDE,CHEMBL783,NATEGLINIDE,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,2000,False,0.21212121212121213,0.1900833872573991,2198
