molecule_id,molecular_weight,clogp,tpsa,hbd,hba,rotatable_bonds,qed,heavy_atoms,formal_charge,ro5_mw_pass,ro5_clogp_pass,ro5_hbd_pass,ro5_hba_pass,ro5_violations,ro5_passes
0,225.24399999999997,1.2492,86.63,3,3,5,0.28425362861190867,16,0,True,True,True,True,0,True
1,299.3590000000001,2.1712499999999997,99.02,2,7,3,0.9007894564466966,21,0,True,True,True,True,0,True
2,291.30299999999994,1.5111999999999999,57.61,1,4,2,0.6626871005914968,20,0,True,True,True,True,0,True
3,166.17999999999998,1.66712,75.35000000000001,3,2,1,0.5552182600913913,12,0,True,True,True,True,0,True
4,607.6440000000001,-0.6809999999999945,205.87,4,14,16,0.060415681793424575,43,0,False,True,True,False,2,False
5,244.29399999999998,0.41929999999999984,52.57,2,3,1,0.7525164245218563,18,0,True,True,True,True,0,True
6,248.26500000000001,1.3669,58.01,2,5,2,0.8402100308811892,18,0,True,True,True,True,0,True
7,354.3650000000001,1.6061,63.410000000000004,0,5,0,0.7192148172021554,27,0,True,True,True,True,0,True
8,358.43800000000016,1.4603,66.92,0,5,1,0.6641180714568471,26,0,True,True,True,True,0,True
9,281.381,0.9612999999999997,69.45,4,5,0,0.5334082197681805,19,0,True,True,True,True,0,True
10,232.28299999999996,2.4596400000000003,44.120000000000005,0,3,2,0.7469606731300964,17,0,True,True,True,True,0,True
11,171.29000000000002,2.7112000000000007,12.89,0,3,1,0.6440917019377389,10,0,True,True,True,True,0,True
12,222.26499999999996,2.0495,54.37,1,3,3,0.7951198000370269,15,0,True,True,True,True,0,True
13,199.166,-0.26869999999999994,87.97000000000001,1,6,1,0.356548127221799,14,0,True,True,True,True,0,True
14,174.203,1.8309999999999997,58.28,3,3,1,0.3509528596092515,13,0,True,True,True,True,0,True
16,477.69700000000034,4.310200000000003,82.17,3,5,6,0.5334201029770904,35,0,True,True,True,True,0,True
17,254.32999999999998,1.1740000000000002,86.79,3,5,6,0.6194265759211154,18,0,True,True,True,True,0,True
18,237.26200000000003,2.5923000000000007,54.35,1,3,2,0.8729705131226257,18,0,True,True,True,True,0,True
19,281.42100000000005,3.342100000000002,40.540000000000006,1,3,4,0.8577369777850762,19,0,True,True,True,True,0,True
