molecule_id,bond_lengths,bond_angles,internal_steric_clash,stage3a_passes,minimum_distance_to_protein,stage3b_passes,stage3_passes
0,True,True,True,True,True,True,True
1,True,True,True,True,True,True,True
2,True,True,True,True,True,True,True
3,True,True,True,True,True,True,True
5,True,True,True,True,True,True,True
6,True,True,True,True,True,True,True
7,True,True,True,True,True,True,True
8,True,True,True,True,True,True,True
9,True,True,True,True,True,True,True
10,True,True,True,True,True,True,True
11,True,True,True,True,True,True,True
12,True,True,True,True,True,True,True
13,False,True,True,False,True,True,False
14,True,True,True,True,True,True,True
16,False,False,False,False,True,True,False
17,True,True,True,True,True,True,True
18,True,True,True,True,True,True,True
19,True,True,True,True,True,True,True
