molecule_id,mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,num_h_added,mol_pred_energy,ensemble_avg_energy,energy_ratio,stage3a_passes
0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,16,0.8930264569261827,1.1056610942718308,0,0,19,1.1280431464829568,0,85,0.8805691048926475,0,16,19,85,0,0,,0,0,,1,1,0.053239836008247464,15,426.6392162898675,306.4249112563091,1.3923124413765602,True
1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,23,0.8819064213425608,1.095234561287896,0,0,32,1.1168810157798612,0,155,0.8728039705248091,0,23,32,155,2,2,0.03420253957908984,0,0,,0,0,,13,222.49395755854957,46.389203476734586,4.796244403509454,True
2,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,22,0.8414257745270116,1.0721412243061947,0,0,33,1.2408956863295857,0,135,0.7607705061173067,0,22,33,135,1,1,0.05479695682842226,0,0,,0,0,,10,312.9931353301493,62.5089970714149,5.0071693675162114,True
3,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,12,0.9450838553541235,1.0675949867820487,0,0,16,1.0665824292884407,0,38,0.8978436651674123,0,12,16,38,1,1,0.024659240943570023,0,0,,0,0,,10,119.62642048846993,22.995990977900327,5.202055462773214,True
5,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,20,0.9244619046968868,1.1567289994622318,0,0,28,1.091674145891138,0,105,0.9730704045212172,0,20,28,105,1,1,0.11115679611311066,4,4,0.07218077554223463,0,0,,16,169.83293832695458,42.63399578800249,3.9835097599448277,True
6,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,20,0.9066221866539217,1.0755403221369553,0,0,29,1.1044288983216486,0,104,0.902464588619985,0,20,29,104,2,2,0.0445965059283727,0,0,,0,0,,13,326.8021905300177,106.0710820600393,3.0809734772483814,True
7,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,33,0.9153136571761713,1.1330048967123056,0,0,54,1.1300852144108116,0,264,0.895287303898566,0,33,54,264,1,1,0.03329586174552239,0,0,,1,1,0.06531228849783044,14,357.4729315761978,136.94788000110432,2.610284522646975,True
8,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,29,0.8494832723717632,1.1985847273464685,0,0,42,1.1417723156258388,0,254,0.814756875892905,0,29,42,254,0,0,,0,0,,0,0,,26,607.9080759587713,83.12379470686835,7.313285902099715,True
9,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,22,0.8471216371121161,1.108254119128591,0,0,36,1.2213843654006675,0,113,0.9526155289855676,0,22,36,113,1,1,0.054296368530735925,0,0,,0,0,,19,679.9431307932654,360.14287868577856,1.8879816068402944,True
10,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,18,0.9795371705372926,1.0834157613099045,0,0,26,1.097189696229773,0,92,0.9916295226134065,0,18,26,92,1,1,0.01917413767428993,0,0,,0,0,,16,116.81861834052954,69.23762055411946,1.6872130700854817,True
11,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,11,0.9085739041483946,1.0305967192057928,0,0,14,1.1237383541649355,0,20,0.9716324472288691,0,11,14,20,1,1,0.042253733334491755,0,0,,0,0,,9,115.10296078776834,42.242577898670525,2.724809102888366,True
12,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,16,0.943876588327239,1.0724439745312615,0,0,21,1.096790309964261,0,68,0.9188446724450529,0,16,21,68,0,0,,0,0,,0,0,,10,174.58217608706508,66.26681421087838,2.6345340147407543,True
13,True,True,True,True,True,False,True,True,True,True,True,,False,False,True,True,True,15,0.7191996875157475,1.0377012598442983,1,0,20,1.1759149368346096,0,56,0.7833703332657896,0,14,20,56,0,0,,0,0,,1,1,0.0016892171564712394,9,815.2768962168154,,,False
14,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,14,0.8988188989799292,1.0413208596444745,0,0,19,1.0443010717016339,0,45,0.9233680895561106,0,14,19,45,2,2,0.039611729262993355,0,0,,0,0,,10,168.10313182108877,33.64929948038506,4.995739418559959,True
16,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,40,0.8674685968175774,1.2707238014131794,0,1,53,1.3221386146209197,1,502,0.6889788294022953,1,39,52,501,1,1,0.047795087258656326,4,4,0.1502103309376315,1,1,0.05055435831353362,43,1501.8088668164332,672.9912586129867,2.2315429028181035,False
17,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,18,0.7926137101162413,1.1714848338274058,0,0,24,1.1471065381698025,0,111,0.926214268706816,0,18,24,111,0,0,,4,4,0.19240469957758546,0,0,,22,305.43558759425025,31.050936467068233,9.836598259063356,True
18,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,20,0.8987460176130587,1.0459417018835941,0,0,27,1.0568955154255621,0,106,0.9543901677634392,0,20,27,106,2,2,0.0354239355807083,0,0,,0,0,,11,132.10532170370806,47.70532719637117,2.7691943325305814,True
19,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,20,0.8766359480361955,1.202273437575919,0,0,28,1.1349617401257794,0,123,0.8939273701031816,0,20,28,123,0,0,,0,0,,0,0,,23,433.6480553725837,53.033768796402356,8.17682893775411,True
