molecule_id,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,mol_true_loaded,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,num_h_added,mol_pred_energy,ensemble_avg_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,stage3b_passes
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,16,0.8930264569261827,1.1056610942718308,0,0,19,1.1280431464829568,0,85,0.8805691048926475,0,16,19,85,0,0,,0,0,,1,1,0.053239836008247464,15,426.6392162898675,306.4249112563091,1.3923124413765602,2.9866513020438146,0,0,112,C,C,1.7,1.7,3.4,3.142641245831281,3.4,0.9243062487739062,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.008140422284406004,,,,True
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,23,0.8819064213425608,1.095234561287896,0,0,32,1.1168810157798612,0,155,0.8728039705248091,0,23,32,155,2,2,0.03420253957908984,0,0,,0,0,,13,222.49395755854957,46.389203476734586,4.796244403509454,2.903847792154403,0,12,122,N,O,1.6,1.55,3.1500000000000004,2.903847792154403,3.1500000000000004,0.9218564419537786,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.006797281087564974,,,,True
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,22,0.8414257745270116,1.0721412243061947,0,0,33,1.2408956863295857,0,135,0.7607705061173067,0,22,33,135,1,1,0.05479695682842226,0,0,,0,0,,10,312.9931353301493,62.5089970714149,5.0071693675162114,3.0104891629102393,0,14,113,C,C,1.7,1.7,3.4,3.0482960814199154,3.4,0.8965576710058575,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.010437051532941943,,,,True
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,12,0.9450838553541235,1.0675949867820487,0,0,16,1.0665824292884407,0,38,0.8978436651674123,0,12,16,38,1,1,0.024659240943570023,0,0,,0,0,,10,119.62642048846993,22.995990977900327,5.202055462773214,3.1401875740152834,0,1,209,N,O,1.6,1.55,3.1500000000000004,3.1401875740152834,3.1500000000000004,0.9968849441318359,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0027491408934707906,,,,True
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,20,0.9244619046968868,1.1567289994622318,0,0,28,1.091674145891138,0,105,0.9730704045212172,0,20,28,105,1,1,0.11115679611311066,4,4,0.07218077554223463,0,0,,16,169.83293832695458,42.63399578800249,3.9835097599448277,2.9222814717271843,0,17,113,C,C,1.7,1.7,3.4,2.9734089863320197,3.4,0.8745320548035352,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.012658227848101266,,,,True
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,20,0.9066221866539217,1.0755403221369553,0,0,29,1.1044288983216486,0,104,0.902464588619985,0,20,29,104,2,2,0.0445965059283727,0,0,,0,0,,13,326.8021905300177,106.0710820600393,3.0809734772483814,2.9512451609447816,0,5,184,C,C,1.7,1.7,3.4,3.111224357065884,3.4,0.9150659873723188,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.008797653958944282,,,,True
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,33,0.9153136571761713,1.1330048967123056,0,0,54,1.1300852144108116,0,264,0.895287303898566,0,33,54,264,1,1,0.03329586174552239,0,0,,1,1,0.06531228849783044,14,357.4729315761978,136.94788000110432,2.610284522646975,2.7184547081016466,0,16,82,O,C,1.55,1.7,3.25,2.7184547081016466,3.25,0.8364476024928144,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.010856856522465342,,,,True
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,29,0.8494832723717632,1.1985847273464685,0,0,42,1.1417723156258388,0,254,0.814756875892905,0,29,42,254,0,0,,0,0,,0,0,,26,607.9080759587713,83.12379470686835,7.313285902099715,2.9186001781676083,0,13,175,C,C,1.7,1.7,3.4,2.9186001781676083,3.4,0.8584118171081201,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.008630705394190872,,,,True
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,22,0.8471216371121161,1.108254119128591,0,0,36,1.2213843654006675,0,113,0.9526155289855676,0,22,36,113,1,1,0.054296368530735925,0,0,,0,0,,19,679.9431307932654,360.14287868577856,1.8879816068402944,3.2282907242068517,0,3,114,O,C,1.55,1.7,3.25,3.2282907242068517,3.25,0.9933202228328775,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.005569169079973268,,,,True
10,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,18,0.9795371705372926,1.0834157613099045,0,0,26,1.097189696229773,0,92,0.9916295226134065,0,18,26,92,1,1,0.01917413767428993,0,0,,0,0,,16,116.81861834052954,69.23762055411946,1.6872130700854817,3.3606276199543466,0,8,263,C,C,1.7,1.7,3.4,3.3984670073431653,3.4,0.9995491198068134,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.002360160490913382,,,,True
11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,11,0.9085739041483946,1.0305967192057928,0,0,14,1.1237383541649355,0,20,0.9716324472288691,0,11,14,20,1,1,0.042253733334491755,0,0,,0,0,,9,115.10296078776834,42.242577898670525,2.724809102888366,3.475115249887405,0,4,237,C,S,1.7,1.8,3.5,3.475115249887405,3.5,0.9928900713964015,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0025858884373845584,,,,True
12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,16,0.943876588327239,1.0724439745312615,0,0,21,1.096790309964261,0,68,0.9188446724450529,0,16,21,68,0,0,,0,0,,0,0,,10,174.58217608706508,66.26681421087838,2.6345340147407543,3.319229729922291,0,8,184,C,C,1.7,1.7,3.4,3.319229729922291,3.4,0.9762440382124385,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0050802139037433155,,,,True
13,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,15,0.7191996875157475,1.0377012598442983,1,0,20,1.1759149368346096,0,56,0.7833703332657896,0,14,20,56,0,0,,0,0,,1,1,0.0016892171564712394,9,815.2768962168154,,,3.36512822935472,0,10,263,C,C,1.7,1.7,3.4,3.36512822935472,3.4,0.9897435968690353,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0035065349059611095,,,,True
14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,14,0.8988188989799292,1.0413208596444745,0,0,19,1.0443010717016339,0,45,0.9233680895561106,0,14,19,45,2,2,0.039611729262993355,0,0,,0,0,,10,168.10313182108877,33.64929948038506,4.995739418559959,3.4849144896252464,0,5,111,C,C,1.7,1.7,3.4,3.4849144896252464,3.4,1.0249748498897784,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0009852216748768472,,,,True
16,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,40,0.8674685968175774,1.2707238014131794,0,1,53,1.3221386146209197,1,502,0.6889788294022953,1,39,52,501,1,1,0.047795087258656326,4,4,0.1502103309376315,1,1,0.05055435831353362,43,1501.8088668164332,672.9912586129867,2.2315429028181035,2.6941152536593527,0,22,40,C,C,1.7,1.7,3.4,2.6941152536593527,3.4,0.7923868393115744,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.00806840077071291,,,,True
17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,18,0.7926137101162413,1.1714848338274058,0,0,24,1.1471065381698025,0,111,0.926214268706816,0,18,24,111,0,0,,4,4,0.19240469957758546,0,0,,22,305.43558759425025,31.050936467068233,9.836598259063356,3.005950099386217,0,1,82,O,C,1.55,1.7,3.25,3.005950099386217,3.25,0.9249077228880668,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.004044943820224719,,,,True
