canonical_smiles,molecule_chembl_ids,parent_molecule_chembl_ids,activity_ids,document_chembl_ids,pchembl_values
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL17002,CHEMBL17002,32555;3371863,CHEMBL1132981;CHEMBL1208683,6.95;6.95
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,CHEMBL17341,CHEMBL17341,36246,CHEMBL1132981,6.37
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCC)c1=O,CHEMBL27041,CHEMBL27041,36255;1674225,CHEMBL1132981;CHEMBL1148617,6.22;6.07
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,CHEMBL132806,CHEMBL132806,38792,CHEMBL1145112,7.24
CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1,CHEMBL336217,CHEMBL336217,39908,CHEMBL1145112,7.38
O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,CHEMBL134566,CHEMBL134566,41114,CHEMBL1145112,7.22
CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1,CHEMBL435022,CHEMBL435022,41122,CHEMBL1145112,7.42
Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,CHEMBL341376,CHEMBL341376,41130;730284;2915856;2916576,CHEMBL1145112;CHEMBL1136016;CHEMBL1154073;CHEMBL1154073,6.37;6.37;6.37;6.37
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL277386,CHEMBL277386,42217,CHEMBL1132981,6.62
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL275360,CHEMBL275360,43385,CHEMBL1132981,7.41
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,CHEMBL17294,CHEMBL17294,43394,CHEMBL1132981,6.65
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4cccc(C(C)=O)c4)cc3)[nH]c2n(CCC)c1=O,CHEMBL16534,CHEMBL16534,44595,CHEMBL1132981,7.23
O=C(COc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,CHEMBL138593,CHEMBL138593,44701,CHEMBL1145112,7.35
Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,CHEMBL324735,CHEMBL324735,44709;752965;1022867;2915852;2916572;15054557;15621784;16440253,CHEMBL1145112;CHEMBL1136016;CHEMBL1135541;CHEMBL1154073;CHEMBL1154073;CHEMBL3351655;CHEMBL3580606;CHEMBL3751698,6.42;6.42;6.42;6.42;6.42;6.42;6.42;6.42
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)O)cc3)[nH]c2n(CCC)c1=O,CHEMBL16997,CHEMBL16997,45717,CHEMBL1132981,6.72
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL16677,CHEMBL16677,46986;1674105,CHEMBL1132981;CHEMBL1148617,7.59;8.65
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL16929,CHEMBL16929,46995;1674106,CHEMBL1132981;CHEMBL1148617,7.78;7.78
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL16787,CHEMBL16787,48318,CHEMBL1132981,7.16
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,CHEMBL273094,CHEMBL273094,50983;523439;523440;523441;1242993;6284469;6284477;13300522;13398781;13398792;16914918;16914967;18167766;24405795,CHEMBL1132981;CHEMBL1130114;CHEMBL1130114;CHEMBL1130114;CHEMBL1132946;CHEMBL1800001;CHEMBL1800001;CHEMBL2380258;CHEMBL2412992;CHEMBL2412992;CHEMBL3885741;CHEMBL3885741;CHEMBL4033759;CHEMBL5042528,7.74;8.1;7.34;7.81;7.2;7.6;7.7;8.24;9.0;8.43;7.73;7.12;7.3;9.0
Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,CHEMBL16867,CHEMBL16867,54814;872318;1004972;2915828;2916548,CHEMBL1145112;CHEMBL1132457;CHEMBL1133118;CHEMBL1154073;CHEMBL1154073,9.51;9.51;9.47;9.47;9.47
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL275427,CHEMBL275427,55947;1674107,CHEMBL1132981;CHEMBL1148617,6.73;6.72
O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,CHEMBL335950,CHEMBL335950,59775;2915784;2916471,CHEMBL1145112;CHEMBL1154073;CHEMBL1154073,6.1;6.52;6.52
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCc4ccccc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL275605,CHEMBL275605,61119;1674102,CHEMBL1132981;CHEMBL1148617,7.62;7.7
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)O)cc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL16931,CHEMBL16931,61131,CHEMBL1132981,7.41
O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,CHEMBL541455,CHEMBL541455,61247;2915739;2916426,CHEMBL1145112;CHEMBL1154073;CHEMBL1154073,7.22;7.36;7.36
