canonical_smiles,parent_molecule_chembl_id,parent_pref_name,approved_chembl_ids,approved_pref_names,first_approvals,withdrawn_flags
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CHEMBL2,PRAZOSIN,CHEMBL2;CHEMBL1558,PRAZOSIN;PRAZOSIN HYDROCHLORIDE,1976,False
CN1CCC[C@H]1c1cccnc1,CHEMBL3,NICOTINE,CHEMBL3,NICOTINE,1984,False
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL4,OFLOXACIN,CHEMBL4,OFLOXACIN,1990,False
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CHEMBL5,NALIDIXIC ACID,CHEMBL5,NALIDIXIC ACID,1964,False
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,INDOMETHACIN,CHEMBL6;CHEMBL3989410,INDOMETHACIN;INDOMETHACIN SODIUM,1965;1985,False
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL403,SULBACTAM,CHEMBL403;CHEMBL1200944,SULBACTAM;SULBACTAM SODIUM,1986,False
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL404,TAZOBACTAM,CHEMBL404;CHEMBL1439,TAZOBACTAM;TAZOBACTAM SODIUM,1993,False
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CHEMBL8,CIPROFLOXACIN,CHEMBL8;CHEMBL1202,CIPROFLOXACIN;CIPROFLOXACIN HYDROCHLORIDE,1987,False
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CHEMBL9,NORFLOXACIN,CHEMBL9,NORFLOXACIN,1986,False
CC(N)Cc1ccccc1,CHEMBL405,AMPHETAMINE,CHEMBL405;CHEMBL501;CHEMBL1200377;CHEMBL1200387,AMPHETAMINE;AMPHETAMINE SULFATE;AMPHETAMINE ASPARTATE;AMPHETAMINE ADIPATE,1955;1960;1996;1975,False
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],CHEMBL6622,ISOSORBIDE DINITRATE,CHEMBL6622,ISOSORBIDE DINITRATE,1986,False
CN1CCN2c3ccccc3Cc3ccccc3C2C1,CHEMBL6437,MIANSERIN,CHEMBL6437,MIANSERIN,,True
CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11,IMIPRAMINE,CHEMBL11;CHEMBL1692;CHEMBL3989845,IMIPRAMINE;IMIPRAMINE HYDROCHLORIDE;IMIPRAMINE PAMOATE,1959;1973,False
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL406,INDAPAMIDE,CHEMBL406,INDAPAMIDE,1983,False
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CHEMBL407,FLUMAZENIL,CHEMBL407,FLUMAZENIL,1991,False
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,CHEMBL408,TROGLITAZONE,CHEMBL408,TROGLITAZONE,1997,True
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409,BICALUTAMIDE,CHEMBL409,BICALUTAMIDE,1995,False
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CHEMBL12,DIAZEPAM,CHEMBL12,DIAZEPAM,1963,False
COCCc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL13,METOPROLOL,CHEMBL13;CHEMBL2062335;CHEMBL2356097;CHEMBL3989566,METOPROLOL;METOPROLOL TARTRATE;METOPROLOL SUCCINATE;METOPROLOL FUMARATE,1978;1992;1989,False
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL411,DIETHYLSTILBESTROL,CHEMBL411,DIETHYLSTILBESTROL,1973,False
CNC1(C)C2CCC(C2)C1(C)C,CHEMBL267936,MECAMYLAMINE,CHEMBL267936;CHEMBL1237082,MECAMYLAMINE;MECAMYLAMINE HYDROCHLORIDE,1956,False
C[N+](C)(C)CCOC(N)=O,CHEMBL965,CARBAMOYLCHOLINE,CHEMBL14;CHEMBL965,CARBACHOL;CARBAMOYLCHOLINE,1972,False
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CHEMBL16,PHENYTOIN,CHEMBL16;CHEMBL1611,PHENYTOIN;PHENYTOIN SODIUM,1953;1956,False
